[     0.0s] === 20260616_044045_siglip512_loto_recap ===
[     0.0s] config: {"name": "siglip512_loto_recap", "backbone": "vit_so400m_patch16_siglip_512.v2_webli", "img_size": 0, "rank": 16, "alpha": 32, "attn_only": false, "epochs": 3, "batch": 8, "accum": 2, "lr": 0.0002, "weight_decay": 0.01, "warmup_steps": 1000, "ema_decay": 0.9995, "seed": 42, "subset": 0, "skip_infer": true, "recapture_p": 0.5, "rc_min": 0.2, "rc_max": 0.6, "loto_types": "MAURITIUS/ID,GUINEA/DL", "num_workers": 2, "out": "subs/siglip512_dora.csv"}
[     6.4s] backbone=vit_so400m_patch16_siglip_512.v2_webli img=512 mean=(0.5, 0.5, 0.5) | DoRA layers=108 | trainable=7.98M
[     6.4s] recapture aug ON: p=0.5 strength U[0.2,0.6]
[     9.4s] type-LOO: held-out types = MAURITIUS/ID,GUINEA/DL
[ 12515.6s]   e1 step 4650/7986 loss=0.0452 lr=9.29e-05
[ 12647.3s]   e1 step 4700/7986 loss=0.0448 lr=9.07e-05
[ 12780.1s]   e1 step 4750/7986 loss=0.0443 lr=8.85e-05
[ 12911.9s]   e1 step 4800/7986 loss=0.0438 lr=8.62e-05
[ 13043.7s]   e1 step 4850/7986 loss=0.0430 lr=8.40e-05
[ 13175.4s]   e1 step 4900/7986 loss=0.0423 lr=8.18e-05
[ 13307.2s]   e1 step 4950/7986 loss=0.0422 lr=7.96e-05
[ 13438.9s]   e1 step 5000/7986 loss=0.0420 lr=7.74e-05
[ 13570.7s]   e1 step 5050/7986 loss=0.0415 lr=7.52e-05
[ 13702.5s]   e1 step 5100/7986 loss=0.0410 lr=7.30e-05
[ 13834.2s]   e1 step 5150/7986 loss=0.0408 lr=7.09e-05
[ 13966.0s]   e1 step 5200/7986 loss=0.0406 lr=6.87e-05
[ 14097.8s]   e1 step 5250/7986 loss=0.0406 lr=6.66e-05
[ 14229.7s]   e1 step 5300/7986 loss=0.0403 lr=6.45e-05
[ 14403.0s] metrics {"epoch": 1, "train_loss": 0.03996, "canary_freuid": 0.00187, "audet": 0.00041, "roc_auc": 0.99959, "ho_auc": 0.9405, "ho_gap": 0.7725}
[ 14486.3s]   e2 step 5350/7986 loss=0.0018 lr=6.24e-05
[ 14618.1s]   e2 step 5400/7986 loss=0.0247 lr=6.03e-05
[ 14749.9s]   e2 step 5450/7986 loss=0.0233 lr=5.83e-05
[ 14881.6s]   e2 step 5500/7986 loss=0.0208 lr=5.62e-05
[ 15013.4s]   e2 step 5550/7986 loss=0.0199 lr=5.42e-05
[ 15145.2s]   e2 step 5600/7986 loss=0.0194 lr=5.22e-05
[ 15277.0s]   e2 step 5650/7986 loss=0.0207 lr=5.03e-05
[ 15408.8s]   e2 step 5700/7986 loss=0.0201 lr=4.83e-05
[ 15540.5s]   e2 step 5750/7986 loss=0.0208 lr=4.64e-05
[ 15672.3s]   e2 step 5800/7986 loss=0.0214 lr=4.46e-05
[ 15804.2s]   e2 step 5850/7986 loss=0.0221 lr=4.27e-05
[ 15935.9s]   e2 step 5900/7986 loss=0.0212 lr=4.09e-05
[ 16069.7s]   e2 step 5950/7986 loss=0.0209 lr=3.91e-05
[ 16206.2s]   e2 step 6000/7986 loss=0.0207 lr=3.73e-05
[ 16338.8s]   e2 step 6050/7986 loss=0.0209 lr=3.56e-05
[ 16475.2s]   e2 step 6100/7986 loss=0.0209 lr=3.39e-05
[ 16612.4s]   e2 step 6150/7986 loss=0.0206 lr=3.22e-05
[ 16749.4s]   e2 step 6200/7986 loss=0.0199 lr=3.06e-05
[ 16885.7s]   e2 step 6250/7986 loss=0.0201 lr=2.90e-05
